round_no,group_no,n_answers,good_pairs,group_time_s,round_time_s
1,1,5,10,4.61,5.41
1,2,5,10,4.61,5.41
1,3,5,9,4.61,5.41
1,4,5,9,4.61,5.41
1,5,5,10,4.61,5.41
1,6,5,10,4.61,5.41
1,7,5,10,4.61,5.41
2,1,5,7,2.08,2.75
2,2,5,8,2.08,2.75
2,3,5,8,2.08,2.75
2,4,5,6,2.08,2.75
2,5,5,6,2.08,2.75
2,6,5,4,2.08,2.75
2,7,2,1,2.08,2.75
3,1,5,10,2.02,2.45
3,2,5,10,2.02,2.45
3,3,5,9,2.02,2.45
3,4,5,10,2.02,2.45
3,5,5,10,2.02,2.45
3,6,4,6,2.02,2.45
4,1,5,10,2.17,2.62
4,2,5,6,2.17,2.62
4,3,5,7,2.17,2.62
4,4,5,2,2.17,2.62
4,5,5,4,2.17,2.62
4,6,1,0,2.17,2.62
5,1,5,10,1.69,2.16
5,2,5,10,1.69,2.16
5,3,5,10,1.69,2.16
5,4,5,10,1.69,2.16
5,5,3,3,1.69,2.16
6,1,5,10,1.40,1.76
6,2,5,10,1.40,1.76
6,3,5,10,1.40,1.76
6,4,5,10,1.40,1.76
7,1,5,10,1.57,1.85
7,2,5,10,1.57,1.85
7,3,5,10,1.57,1.85
7,4,2,1,1.57,1.85
8,1,5,9,2.01,2.31
8,2,5,10,2.01,2.31
8,3,5,10,2.01,2.31
8,4,2,1,2.01,2.31
9,1,5,10,1.24,1.43
9,2,5,10,1.24,1.43
9,3,4,6,1.24,1.43
10,1,5,10,1.12,1.42
10,2,5,10,1.12,1.42
10,3,2,1,1.12,1.42
11,1,5,10,1.05,1.15
11,2,4,6,1.05,1.15
12,1,5,10,0.68,0.82
12,2,2,1,0.68,0.82
13,0,4,0,0.66,0.66
